empty_count,longitude,latitude
40,30.48113310681657,50.47415504997598
15,30.49232107381488,50.47364712141641
43,30.54406677446677,50.45453665337484
37,30.51219218196853,50.40297972194381
13,30.49326608933907,50.46020187290500
35,30.48988376506867,50.46498844377795
34,30.51195198209616,50.44492090462839
17,30.55094304566778,50.40064987596781
10,30.53981393949882,50.43402505165180
9,30.49153137621076,50.47634941290065
6,30.47927458433801,50.40967163768335
22,30.53037260313669,50.48071282732744
46,30.51594248796718,50.41248261628532
24,30.47788001980785,50.42931782814071
40,30.53185197523642,50.48617069003108
36,30.48922885902567,50.40695551488238
42,30.49278982756515,50.42893879636021
5,30.55553177210151,50.48664836667553
24,30.49779736031101,50.46356844442644
23,30.48626540971561,50.43552707002276
42,30.49669778220491,50.49366545877125
41,30.47714025095786,50.46349782881971
34,30.54291267979503,50.41634024937620
24,30.49699478267843,50.49253911796212
44,30.52569497437747,50.46846142509899
